"habitat","scenario","model","ts_name","rmse_corr","rmse_base"
"Beach","Pooled","RF","Range_24 25 m",0.666997997901243,7.60162525814689
"Beach","Pooled","RF","Range_24 45 m",0.661031039040526,7.61017634712074
"Beach","Pooled","RF","Rosh_HaNikra 15 m",0.965991051132667,6.80955650144437
"Beach","Pooled","RF","Rosh_HaNikra 25 m",1.14684594818358,9.84114400853354
"Beach","Pooled","RF","Ashkelon 10 m",1.25671913516985,10.6843817795821
"Beach","Pooled","RF","Ashkelon 15 m",0.752392484557514,9.92977011603862
"Beach","Pooled","RF","Rosh_HaNikra 45 m",0.703196150886818,7.33411099974592
"Beach","Pooled","LSTM_2h","Range_24 25 m",1.65450587893865,7.60162525814689
"Beach","Pooled","LSTM_2h","Range_24 45 m",1.48987993072456,7.61017634712074
"Beach","Pooled","LSTM_2h","Rosh_HaNikra 15 m",2.86607296398834,6.80955650144437
"Beach","Pooled","LSTM_2h","Rosh_HaNikra 25 m",3.08764004890166,9.84114400853354
"Beach","Pooled","LSTM_2h","Ashkelon 10 m",1.5516765382628,10.6843817795821
"Beach","Pooled","LSTM_2h","Ashkelon 15 m",1.61378312508483,9.92977011603862
"Beach","Pooled","LSTM_2h","Rosh_HaNikra 45 m",2.69807549565903,7.33411099974592
"Beach","Specialized","RF","Ashkelon 10 m",1.26702813219335,10.6843817795821
"Beach","Specialized","RF","Ashkelon 15 m",0.735208376352632,9.92977011603862
"Beach","Specialized","LSTM_2h","Ashkelon 10 m",1.78716068981921,10.6843817795821
"Beach","Specialized","LSTM_2h","Ashkelon 15 m",1.4485701083707,9.92977011603862
"Beach","Specialized","RF","Range_24 25 m",0.532858136702525,7.60162525814689
"Beach","Specialized","RF","Range_24 45 m",0.668516130620856,7.61017634712074
"Beach","Specialized","LSTM_2h","Range_24 25 m",1.28071149939845,7.60162525814689
"Beach","Specialized","LSTM_2h","Range_24 45 m",1.55997448889518,7.61017634712074
"Beach","Specialized","RF","Rosh_HaNikra 15 m",0.928988046743541,6.80955650144437
"Beach","Specialized","RF","Rosh_HaNikra 25 m",1.16046199344696,9.84114400853354
"Beach","Specialized","RF","Rosh_HaNikra 45 m",0.738721770450672,7.33411099974592
"Beach","Specialized","LSTM_2h","Rosh_HaNikra 15 m",2.91329604840353,6.80955650144437
"Beach","Specialized","LSTM_2h","Rosh_HaNikra 25 m",2.54354113551986,9.84114400853354
"Beach","Specialized","LSTM_2h","Rosh_HaNikra 45 m",2.67001618693339,7.33411099974592
"Desert","Pooled","RF","Bush_M_M_1_W",1.08376637852923,8.32191298877551
"Desert","Pooled","RF","Bush_M_T_1_W",0.964151909444112,7.19934235981949
"Desert","Pooled","RF","Bush_S_M_1_W",1.01366546689746,8.17848296644696
"Desert","Pooled","RF","Rock_L_M_1_W",1.06681660797034,8.52187321317832
"Desert","Pooled","RF","Rock_L_M_2_W",1.22142944040956,8.78211307826646
"Desert","Pooled","RF","Rock_L_T_2_W",1.01062963220139,7.64061454013023
"Desert","Pooled","RF","Rock_M_M_1_W",1.47608906283973,9.40392993655965
"Desert","Pooled","RF","Rock_M_M_2_W",1.14914403390492,9.09801554948216
"Desert","Pooled","RF","Rock_M_T_1_W",1.04290741058213,7.99015927800288
"Desert","Pooled","RF","Rock_S_M_1_W",1.23506453905538,9.24855987503716
"Desert","Pooled","RF","Rock_S_M_2_W",1.01684365327836,9.01109801898414
"Desert","Pooled","RF","Rock_S_T_1_W",0.993050520871032,8.10613326404813
"Desert","Pooled","RF","Bush_L_M_1_S",1.17875811896178,8.75163833524828
"Desert","Pooled","RF","Bush_L_M_2_S",1.1591967588683,9.63229782947337
"Desert","Pooled","RF","Bush_L_T_1_S",1.13055538365685,9.64626176265297
"Desert","Pooled","RF","Bush_L_T_2_S",1.10447905109683,9.63692990756453
"Desert","Pooled","RF","Bush_M_M_1_S",1.01679967870344,8.0592829956381
"Desert","Pooled","RF","Bush_M_T_1_S",2.21074769485659,10.4036144947423
"Desert","Pooled","RF","Bush_M_T_2_S",2.08614532163707,7.94223712679744
"Desert","Pooled","RF","Bush_S_M_1_S",0.617812719412146,9.56038883908109
"Desert","Pooled","RF","Bush_S_M_2_S",0.620313335630262,9.56021759371102
"Desert","Pooled","RF","Bush_S_T_1_S",1.54344541946043,9.63893801935502
"Desert","Pooled","RF","Bush_S_T_2_S",1.59926042095802,7.88044454718675
"Desert","Pooled","RF","Rock_L_M_1_S",0.501038203344825,7.81186706574131
"Desert","Pooled","RF","Rock_L_M_2_S",0.473372403511313,7.89842568243848
"Desert","Pooled","RF","Rock_L_T_1_S",0.851904300500896,7.39921600467465
"Desert","Pooled","RF","Rock_L_T_2_S",0.698797748927797,7.08545705434997
"Desert","Pooled","RF","Rock_M_M_1_S",0.674621941471127,8.39069872303192
"Desert","Pooled","RF","Rock_M_M_2_S",0.625406339771635,8.38165031965031
"Desert","Pooled","RF","Rock_M_T_1_S",0.564549280421743,7.78784857444108
"Desert","Pooled","RF","Rock_M_T_2_S",0.547619583481005,8.73670574460559
"Desert","Pooled","RF","Rock_S_M_1_S",0.749984550211701,8.73710075215292
"Desert","Pooled","RF","Rock_S_M_2_S",0.837829407275583,9.88061678787018
"Desert","Pooled","RF","Rock_S_T_1_S",0.714043473574216,8.63291065374732
"Desert","Pooled","RF","Bush_M_M_2_S",1.06180116659083,8.04002134222094
"Desert","Pooled","RF","Rock_S_T_2_S",0.773714217740906,8.11778136236643
"Desert","Pooled","RF","Bush_L_M_1_W",1.32654833316655,8.9565947020008
"Desert","Pooled","RF","Bush_L_M_2_W",1.12378464708263,8.63365102317795
"Desert","Pooled","RF","Bush_L_T_1_W",0.890257594925681,6.39880351936504
"Desert","Pooled","RF","Bush_L_T_2_W",1.22043535476748,7.56030200996146
"Desert","Pooled","RF","Bush_M_M_2_W",1.19994049597649,8.61112094351379
"Desert","Pooled","RF","Bush_M_T_2_W",1.05572657449891,7.40754409195575
"Desert","Pooled","RF","Bush_S_T_1_W",1.18215670285229,7.73978105700318
"Desert","Pooled","RF","Bush_S_T_2_W",1.22530665849385,8.02422845480734
"Desert","Pooled","RF","Rock_L_T_1_W",1.02874231314181,7.84202903146075
"Desert","Pooled","RF","Rock_M_T_2_W",1.03336973131307,8.11146991425244
"Desert","Pooled","RF","Rock_S_T_2_W",0.691936947840125,5.35117535618924
"Desert","Pooled","RF","Bush_S_M_2_W",1.40775175984215,9.21005827249505
"Desert","Pooled","LSTM_2h","Bush_M_T_1_W",1.3194255255673,7.19934235981949
"Desert","Pooled","LSTM_2h","Rock_L_T_2_W",1.27894505626499,7.64061454013023
"Desert","Pooled","LSTM_2h","Rock_M_T_1_W",1.27335732819157,7.99015927800288
"Desert","Pooled","LSTM_2h","Rock_S_T_1_W",1.30861753210372,8.10613326404813
"Desert","Pooled","LSTM_2h","Rock_L_M_1_W",1.46418589201267,8.52187321317832
"Desert","Pooled","LSTM_2h","Rock_L_M_2_W",1.56858365598929,8.78211307826646
"Desert","Pooled","LSTM_2h","Rock_M_M_2_W",1.32820841154795,9.09801554948216
"Desert","Pooled","LSTM_2h","Rock_S_M_2_W",1.25269498978406,9.01109801898414
"Desert","Pooled","LSTM_2h","Bush_M_M_1_W",1.46082355199308,8.32191298877551
"Desert","Pooled","LSTM_2h","Bush_S_M_1_W",1.41625206317245,8.17848296644696
"Desert","Pooled","LSTM_2h","Rock_M_M_1_W",1.83687961871554,9.40392993655965
"Desert","Pooled","LSTM_2h","Rock_S_M_1_W",1.5509766991207,9.24855987503716
"Desert","Pooled","LSTM_2h","Bush_L_M_1_W",1.6657049701752,8.9565947020008
"Desert","Pooled","LSTM_2h","Bush_L_M_2_W",1.3642425011007,8.63365102317795
"Desert","Pooled","LSTM_2h","Bush_L_T_1_W",1.32835608655661,6.39880351936504
"Desert","Pooled","LSTM_2h","Bush_L_T_2_W",1.54437268335308,7.56030200996146
"Desert","Pooled","LSTM_2h","Bush_M_M_2_W",1.32529736056176,8.61112094351379
"Desert","Pooled","LSTM_2h","Bush_M_T_2_W",1.30384076069522,7.40754409195575
"Desert","Pooled","LSTM_2h","Bush_S_M_2_W",1.48635382313076,9.21005827249505
"Desert","Pooled","LSTM_2h","Bush_S_T_1_W",1.44363292692057,7.73978105700318
"Desert","Pooled","LSTM_2h","Bush_S_T_2_W",1.51855413763582,8.02422845480734
"Desert","Pooled","LSTM_2h","Rock_L_T_1_W",1.1677865685882,7.84202903146075
"Desert","Pooled","LSTM_2h","Rock_M_T_2_W",1.24619463778146,8.11146991425244
"Desert","Pooled","LSTM_2h","Rock_S_T_2_W",1.00025094866183,5.35117535618924
"Desert","Pooled","LSTM_2h","Bush_L_M_1_S",1.30906800091381,8.75163833524828
"Desert","Pooled","LSTM_2h","Bush_L_M_2_S",1.47499603233545,9.63229782947337
"Desert","Pooled","LSTM_2h","Bush_L_T_1_S",1.66636094640014,9.64626176265297
"Desert","Pooled","LSTM_2h","Bush_L_T_2_S",1.76960959332357,9.63692990756453
"Desert","Pooled","LSTM_2h","Bush_M_M_1_S",1.30821987734379,8.0592829956381
"Desert","Pooled","LSTM_2h","Bush_M_M_2_S",1.47534210540724,8.04002134222094
"Desert","Pooled","LSTM_2h","Bush_M_T_1_S",2.72076624952935,10.4036144947423
"Desert","Pooled","LSTM_2h","Bush_M_T_2_S",2.30283514012598,7.94223712679744
"Desert","Pooled","LSTM_2h","Bush_S_M_1_S",1.19965644461842,9.56038883908109
"Desert","Pooled","LSTM_2h","Bush_S_M_2_S",1.17064451875726,9.56021759371102
"Desert","Pooled","LSTM_2h","Bush_S_T_1_S",1.88230494209385,9.63893801935502
"Desert","Pooled","LSTM_2h","Bush_S_T_2_S",1.6711881885039,7.88044454718675
"Desert","Pooled","LSTM_2h","Rock_L_M_1_S",0.959036792811571,7.81186706574131
"Desert","Pooled","LSTM_2h","Rock_L_M_2_S",0.919795208617608,7.89842568243848
"Desert","Pooled","LSTM_2h","Rock_L_T_1_S",1.37378796666661,7.39921600467465
"Desert","Pooled","LSTM_2h","Rock_L_T_2_S",1.03143646762941,7.08545705434997
"Desert","Pooled","LSTM_2h","Rock_M_M_1_S",1.10480857621467,8.39069872303192
"Desert","Pooled","LSTM_2h","Rock_M_M_2_S",1.11328761675548,8.38165031965031
"Desert","Pooled","LSTM_2h","Rock_M_T_1_S",0.975184840631195,7.78784857444108
"Desert","Pooled","LSTM_2h","Rock_M_T_2_S",1.0860691868781,8.73670574460559
"Desert","Pooled","LSTM_2h","Rock_S_M_1_S",1.29851568702043,8.73710075215292
"Desert","Pooled","LSTM_2h","Rock_S_M_2_S",1.1330622530345,9.88061678787018
"Desert","Pooled","LSTM_2h","Rock_S_T_1_S",1.11828116757556,8.63291065374732
"Desert","Pooled","LSTM_2h","Rock_S_T_2_S",1.02936155148652,8.11778136236643
"Desert","Specialized","RF","Bush_M_M_1_W",1.07301467441171,8.32191298877551
"Desert","Specialized","RF","Bush_S_M_1_W",1.00345946625145,8.17848296644696
"Desert","Specialized","RF","Rock_L_M_1_W",1.06263761225376,8.52187321317832
"Desert","Specialized","RF","Rock_L_M_2_W",1.21638565037698,8.78211307826646
"Desert","Specialized","RF","Rock_M_M_1_W",1.48019443400779,9.40392993655965
"Desert","Specialized","RF","Rock_M_M_2_W",1.14850090098254,9.09801554948216
"Desert","Specialized","RF","Rock_S_M_1_W",1.23902630025549,9.24855987503716
"Desert","Specialized","RF","Rock_S_M_2_W",1.01368006297148,9.01109801898414
"Desert","Specialized","RF","Bush_L_M_1_S",1.14756763493278,8.75163833524828
"Desert","Specialized","RF","Bush_L_M_2_S",1.20054797837425,9.63229782947337
"Desert","Specialized","RF","Bush_M_M_1_S",1.00600350564008,8.0592829956381
"Desert","Specialized","RF","Bush_S_M_1_S",0.646269007287171,9.56038883908109
"Desert","Specialized","RF","Bush_S_M_2_S",0.62198164266381,9.56021759371102
"Desert","Specialized","RF","Rock_L_M_1_S",0.535079964902551,7.81186706574131
"Desert","Specialized","RF","Rock_L_M_2_S",0.483617145946449,7.89842568243848
"Desert","Specialized","RF","Rock_M_M_1_S",0.682334815314349,8.39069872303192
"Desert","Specialized","RF","Rock_M_M_2_S",0.635690224820275,8.38165031965031
"Desert","Specialized","RF","Rock_S_M_1_S",0.758723117846286,8.73710075215292
"Desert","Specialized","RF","Rock_S_M_2_S",0.856567108419163,9.88061678787018
"Desert","Specialized","RF","Bush_M_M_2_S",1.07925840580977,8.04002134222094
"Desert","Specialized","RF","Bush_L_M_1_W",1.29736779885899,8.9565947020008
"Desert","Specialized","RF","Bush_L_M_2_W",1.09409424847335,8.63365102317795
"Desert","Specialized","RF","Bush_M_M_2_W",1.17703751282751,8.61112094351379
"Desert","Specialized","RF","Bush_S_M_2_W",1.38304025397036,9.21005827249505
"Desert","Specialized","LSTM_2h","Rock_L_M_1_W",1.47221634023287,8.52187321317832
"Desert","Specialized","LSTM_2h","Rock_L_M_2_W",1.5693912101039,8.78211307826646
"Desert","Specialized","LSTM_2h","Rock_M_M_2_W",1.35762083837765,9.09801554948216
"Desert","Specialized","LSTM_2h","Rock_S_M_2_W",1.38430452342227,9.01109801898414
"Desert","Specialized","LSTM_2h","Bush_M_M_1_W",1.49837943733015,8.32191298877551
"Desert","Specialized","LSTM_2h","Bush_S_M_1_W",1.37838225119661,8.17848296644696
"Desert","Specialized","LSTM_2h","Rock_M_M_1_W",1.86652955321271,9.40392993655965
"Desert","Specialized","LSTM_2h","Rock_S_M_1_W",1.65685752220013,9.24855987503716
"Desert","Specialized","LSTM_2h","Bush_L_M_1_W",1.70851146854707,8.9565947020008
"Desert","Specialized","LSTM_2h","Bush_L_M_2_W",1.3539237702642,8.63365102317795
"Desert","Specialized","LSTM_2h","Bush_M_M_2_W",1.50824645436488,8.61112094351379
"Desert","Specialized","LSTM_2h","Bush_S_M_2_W",1.71101433065502,9.21005827249505
"Desert","Specialized","LSTM_2h","Bush_L_M_1_S",1.24466828628101,8.75163833524828
"Desert","Specialized","LSTM_2h","Bush_L_M_2_S",1.68240052013673,9.63229782947337
"Desert","Specialized","LSTM_2h","Bush_M_M_1_S",1.21353993481685,8.0592829956381
"Desert","Specialized","LSTM_2h","Bush_M_M_2_S",1.72220042948122,8.04002134222094
"Desert","Specialized","LSTM_2h","Bush_S_M_1_S",1.26447633538123,9.56038883908109
"Desert","Specialized","LSTM_2h","Bush_S_M_2_S",1.29175423022213,9.56021759371102
"Desert","Specialized","LSTM_2h","Rock_L_M_1_S",0.963911268115274,7.81186706574131
"Desert","Specialized","LSTM_2h","Rock_L_M_2_S",0.962656124698802,7.89842568243848
"Desert","Specialized","LSTM_2h","Rock_M_M_1_S",1.11700673139803,8.39069872303192
"Desert","Specialized","LSTM_2h","Rock_M_M_2_S",1.10672424926506,8.38165031965031
"Desert","Specialized","LSTM_2h","Rock_S_M_1_S",1.14005208427669,8.73710075215292
"Desert","Specialized","LSTM_2h","Rock_S_M_2_S",1.2554751687073,9.88061678787018
"Desert","Specialized","RF","Bush_M_T_1_W",0.956630064154974,7.19934235981949
"Desert","Specialized","RF","Rock_L_T_2_W",1.02422494068821,7.64061454013023
"Desert","Specialized","RF","Rock_M_T_1_W",1.03452044154077,7.99015927800288
"Desert","Specialized","RF","Rock_S_T_1_W",0.996395126414889,8.10613326404813
"Desert","Specialized","RF","Bush_L_T_1_S",1.11824697231445,9.64626176265297
"Desert","Specialized","RF","Bush_L_T_2_S",1.13033795985103,9.63692990756453
"Desert","Specialized","RF","Bush_M_T_1_S",2.18821409621548,10.4036144947423
"Desert","Specialized","RF","Bush_M_T_2_S",2.1162893179292,7.94223712679744
"Desert","Specialized","RF","Bush_S_T_1_S",1.54755374693524,9.63893801935502
"Desert","Specialized","RF","Bush_S_T_2_S",1.61265247175299,7.88044454718675
"Desert","Specialized","RF","Rock_L_T_1_S",0.871259991510695,7.39921600467465
"Desert","Specialized","RF","Rock_L_T_2_S",0.723150429206252,7.08545705434997
"Desert","Specialized","RF","Rock_M_T_1_S",0.587155031560019,7.78784857444108
"Desert","Specialized","RF","Rock_M_T_2_S",0.577699396228575,8.73670574460559
"Desert","Specialized","RF","Rock_S_T_1_S",0.750573260933553,8.63291065374732
"Desert","Specialized","RF","Rock_S_T_2_S",0.813854146628348,8.11778136236643
"Desert","Specialized","RF","Bush_L_T_1_W",0.887555219617928,6.39880351936504
"Desert","Specialized","RF","Bush_L_T_2_W",1.22210821259445,7.56030200996146
"Desert","Specialized","RF","Bush_M_T_2_W",1.05026023311821,7.40754409195575
"Desert","Specialized","RF","Bush_S_T_1_W",1.16179017855499,7.73978105700318
"Desert","Specialized","RF","Bush_S_T_2_W",1.22334172472104,8.02422845480734
"Desert","Specialized","RF","Rock_L_T_1_W",1.0364358265062,7.84202903146075
"Desert","Specialized","RF","Rock_M_T_2_W",1.01928990250913,8.11146991425244
"Desert","Specialized","RF","Rock_S_T_2_W",0.68198737922463,5.35117535618924
"Desert","Specialized","LSTM_2h","Bush_M_T_1_W",1.3007792178124,7.19934235981949
"Desert","Specialized","LSTM_2h","Rock_L_T_2_W",1.263440892191,7.64061454013023
"Desert","Specialized","LSTM_2h","Rock_M_T_1_W",1.21253172017376,7.99015927800288
"Desert","Specialized","LSTM_2h","Rock_S_T_1_W",1.40579919816065,8.10613326404813
"Desert","Specialized","LSTM_2h","Bush_L_T_1_W",1.35662663699383,6.39880351936504
"Desert","Specialized","LSTM_2h","Bush_L_T_2_W",1.34295796959546,7.56030200996146
"Desert","Specialized","LSTM_2h","Bush_M_T_2_W",1.22873841572841,7.40754409195575
"Desert","Specialized","LSTM_2h","Bush_S_T_1_W",1.3729825249669,7.73978105700318
"Desert","Specialized","LSTM_2h","Bush_S_T_2_W",1.58383482833678,8.02422845480734
"Desert","Specialized","LSTM_2h","Rock_L_T_1_W",1.15282178975167,7.84202903146075
"Desert","Specialized","LSTM_2h","Rock_M_T_2_W",1.19117922826248,8.11146991425244
"Desert","Specialized","LSTM_2h","Rock_S_T_2_W",0.98554329464907,5.35117535618924
"Desert","Specialized","LSTM_2h","Bush_L_T_1_S",1.71738489697173,9.64626176265297
"Desert","Specialized","LSTM_2h","Bush_L_T_2_S",1.69231508469787,9.63692990756453
"Desert","Specialized","LSTM_2h","Bush_M_T_1_S",2.53610019590095,10.4036144947423
"Desert","Specialized","LSTM_2h","Bush_M_T_2_S",2.47918719103793,7.94223712679744
"Desert","Specialized","LSTM_2h","Bush_S_T_1_S",1.95454665047332,9.63893801935502
"Desert","Specialized","LSTM_2h","Bush_S_T_2_S",1.67682856157099,7.88044454718675
"Desert","Specialized","LSTM_2h","Rock_L_T_1_S",1.45396834588137,7.39921600467465
"Desert","Specialized","LSTM_2h","Rock_L_T_2_S",1.06618185582814,7.08545705434997
"Desert","Specialized","LSTM_2h","Rock_M_T_1_S",1.00930001126374,7.78784857444108
"Desert","Specialized","LSTM_2h","Rock_M_T_2_S",1.23816280446877,8.73670574460559
"Desert","Specialized","LSTM_2h","Rock_S_T_1_S",1.16923165255965,8.63291065374732
"Desert","Specialized","LSTM_2h","Rock_S_T_2_S",1.10308754271955,8.11778136236643
